
1;0.224719
2;0.60241
4;0.725953
8;0.761905
16;0.762667
32;0.815494
64;0.811256
128;0.791839
256;0.395504
512;0.509492
1024;0.505081
2024;0.36588
3024;0.508155
4024;0.797483
5024;0.812258
6024;0.819092
7024;0.815042
8024;0.808597
9024;0.817198
10024;0.737978
11024;0.750698
12024;0.560673
13024;0.575281
14024;0.557803
15024;0.632223
16024;0.816007
17024;0.670417
18024;0.812399
19024;0.547203
20024;0.820884
21024;0.823805
22024;0.824376
23024;0.742639
24024;0.824394
25024;0.784292
26024;0.575873
27024;0.824577
28024;0.725943
29024;0.366605
30024;0.780824
31024;0.614922
32024;0.569852
33024;0.794066
34024;0.822793
35024;0.667988
36024;0.686004
37024;0.739594
38024;0.770781
39024;0.823988
40024;0.753558
41024;0.796865
42024;0.787004
43024;0.737994
44024;0.778391
45024;0.776854
46024;0.821526
47024;0.816595
48024;0.763522
49024;0.561798
50024;0.708377
51024;0.745674
52024;0.766385
53024;0.799463
54024;0.794009
55024;0.721762
56024;0.746217
57024;0.808153
58024;0.722865
59024;0.739414
60024;0.734035
61024;0.702665
62024;0.519694
63024;0.758747
64024;0.782289
128048;0.805255
228048;0.288999
328048;0.386504
428048;0.533669
528048;0.307633
628048;0.316103
728048;0.381623
828048;0.471471
928048;0.536424
