
1;0.225734
2;0.243013
4;0.320256
8;0.336007
16;0.304594
32;0.358636
64;0.807907
128;0.494071
256;0.797036
512;0.810151
1024;0.819226
2024;0.815586
3024;0.809786
4024;0.816268
5024;0.509733
6024;0.808439
7024;0.467464
8024;0.52175
9024;0.547765
10024;0.80199
11024;0.784128
12024;0.694359
13024;0.55701
14024;0.794187
15024;0.426266
16024;0.473454
17024;0.760587
18024;0.794554
19024;0.657514
20024;0.610765
21024;0.522693
22024;0.477585
23024;0.590806
24024;0.476921
25024;0.636856
26024;0.626821
27024;0.724888
28024;0.66019
29024;0.654191
30024;0.70706
31024;0.685369
32024;0.703175
33024;0.71418
34024;0.722309
35024;0.723154
36024;0.711629
37024;0.711963
38024;0.811774
39024;0.740499
40024;0.817608
41024;0.750911
42024;0.752885
43024;0.754342
44024;0.717248
45024;0.749114
46024;0.687746
47024;0.750671
48024;0.788464
49024;0.818782
50024;0.775832
51024;0.727007
52024;0.6703
53024;0.588603
54024;0.732272
55024;0.742713
56024;0.769997
57024;0.714705
58024;0.804246
59024;0.738067
60024;0.767283
61024;0.75097
62024;0.735504
63024;0.58057
64024;0.742899
128048;0.66874
228048;0.486541
328048;0.799948
428048;0.536117
528048;0.297881
628048;0.324117
728048;0.441709
828048;0.512554
928048;0.483145
